customer,Arrival t,Service t,service begins,service ends,Idle t,Waiting t in queue,t in system,avg queue,avg idle
784,270.5769426848151,0.5305148207706554,270.646529886911,271.17704470768166,0.0,0.06958720209593139,0.6001020228665652,0.7000803502383194,0.23815805410379684
785,270.7177577225429,0.07790994983407291,271.17704470768166,271.2549546575157,0.0,0.45928698513876043,0.5371969349728261,0.7000803502383194,0.23815805410379684
786,270.9604457142203,0.14959075484955003,271.2549546575157,271.4045454123653,0.0,0.2945089432953978,0.444099698144953,0.7000803502383194,0.23815805410379684
787,271.63530889935583,0.22081510193585618,271.63530889935583,271.8561240012917,0.23076348699055416,0.0,0.22081510193585618,0.7000803502383194,0.23815805410379684
788,271.67115643484516,0.040882079912662,271.8561240012917,271.8970060812043,0.0,0.18496756644651668,0.2258496463591655,0.7000803502383194,0.23815805410379684
789,271.7288978119393,0.672954837940805,271.8970060812043,272.5699609191451,0.0,0.16810826926501932,0.8410631072057981,0.7000803502383194,0.23815805410379684
790,272.21309534810814,0.41096976453710005,272.5699609191451,272.98093068368223,0.0,0.3568655710369626,0.767835335574091,0.7000803502383194,0.23815805410379684
791,272.41713754147537,0.08479621290999662,272.98093068368223,273.06572689659225,0.0,0.5637931422068618,0.6485893551168829,0.7000803502383194,0.23815805410379684
792,272.5613562296339,0.35355794013382763,273.06572689659225,273.4192848367261,0.0,0.5043706669583798,0.8579286070922194,0.7000803502383194,0.23815805410379684
793,273.08030253737047,0.0005995894387629026,273.4192848367261,273.41988442616486,0.0,0.33898229935562085,0.33958188879438467,0.7000803502383194,0.23815805410379684
794,273.5589124691382,0.027375828880117307,273.5589124691382,273.5862882980183,0.1390280429733366,0.0,0.027375828880117307,0.7000803502383194,0.23815805410379684
795,273.70613449706144,0.053932983502060584,273.70613449706144,273.7600674805635,0.11984619904313831,0.0,0.053932983502060584,0.7000803502383194,0.23815805410379684
796,274.46886249274,0.7145346024196454,274.46886249274,275.18339709515965,0.7087950121764948,0.0,0.7145346024196454,0.7000803502383194,0.23815805410379684
797,274.5654483586226,0.17989296140976369,275.18339709515965,275.36329005656944,0.0,0.6179487365370733,0.7978416979468648,0.7000803502383194,0.23815805410379684
798,274.6528588230138,0.325019724995815,275.36329005656944,275.68830978156524,0.0,0.7104312335556529,1.0354509585514506,0.7000803502383194,0.23815805410379684
799,275.0382638350141,0.06933471198673927,275.68830978156524,275.757644493552,0.0,0.6500459465511312,0.7193806585378866,0.7000803502383194,0.23815805410379684
800,275.19711503546296,0.024412111165102626,275.757644493552,275.78205660471707,0.0,0.5605294580890359,0.5849415692541129,0.7000803502383194,0.23815805410379684
801,275.5696388434065,0.059553398247511935,275.78205660471707,275.84161000296456,0.0,0.21241776131057577,0.2719711595580634,0.7000803502383194,0.23815805410379684
802,275.58930709013976,0.028461577699125298,275.84161000296456,275.8700715806637,0.0,0.25230291282480266,0.2807644905239499,0.7000803502383194,0.23815805410379684
803,275.9164828117094,0.24627062522987242,275.9164828117094,276.1627534369393,0.046411231045681234,0.0,0.24627062522987242,0.7000803502383194,0.23815805410379684
804,276.24447731251377,0.003428416810243882,276.24447731251377,276.24790572932403,0.08172387557448246,0.0,0.003428416810243882,0.7000803502383194,0.23815805410379684
805,276.58249441540033,0.020825330525700743,276.58249441540033,276.60331974592606,0.33458868607630166,0.0,0.020825330525700743,0.7000803502383194,0.23815805410379684
806,277.3317429034276,0.1380712778011617,277.3317429034276,277.46981418122874,0.7284231575015383,0.0,0.1380712778011617,0.7000803502383194,0.23815805410379684
807,277.6137333642115,0.24303627592159702,277.6137333642115,277.8567696401331,0.1439191829827564,0.0,0.24303627592159702,0.7000803502383194,0.23815805410379684
808,278.8221074591212,0.2320729353470057,278.8221074591212,279.0541803944682,0.9653378189880755,0.0,0.2320729353470057,0.7000803502383194,0.23815805410379684
809,279.50953247889703,0.11444832079371914,279.50953247889703,279.62398079969074,0.4553520844288528,0.0,0.11444832079371914,0.7000803502383194,0.23815805410379684
810,279.80184416156806,0.033814166471866074,279.80184416156806,279.8356583280399,0.17786336187731422,0.0,0.033814166471866074,0.7000803502383194,0.23815805410379684
811,280.2093160521874,0.018370366064507558,280.2093160521874,280.2276864182519,0.37365772414744924,0.0,0.018370366064507558,0.7000803502383194,0.23815805410379684
812,280.83992964748575,0.3547250324008856,280.83992964748575,281.19465467988664,0.6122432292338544,0.0,0.3547250324008856,0.7000803502383194,0.23815805410379684
813,280.87736269636656,0.18344354003810656,281.19465467988664,281.37809821992477,0.0,0.3172919835200787,0.5007355235582054,0.7000803502383194,0.23815805410379684
814,281.3282943212916,0.21716531262442082,281.37809821992477,281.5952635325492,0.0,0.04980389863317214,0.2669692112576172,0.7000803502383194,0.23815805410379684
815,281.33647010112105,0.4337235211008759,281.5952635325492,282.0289870536501,0.0,0.2587934314281597,0.6925169525290471,0.7000803502383194,0.23815805410379684
816,281.451395039891,0.35060455733659535,282.0289870536501,282.3795916109867,0.0,0.5775920137591015,0.9281965710957252,0.7000803502383194,0.23815805410379684
817,281.9885224751506,0.7296772416831498,282.3795916109867,283.10926885266986,0.0,0.39106913583611913,1.1207463775192537,0.7000803502383194,0.23815805410379684
818,282.5319859552102,0.5058647798370355,283.10926885266986,283.6151336325069,0.0,0.5772828974596678,1.0831476772967221,0.7000803502383194,0.23815805410379684
819,282.83266710825825,0.17169802681497642,283.6151336325069,283.7868316593219,0.0,0.7824665242486617,0.9541645510636272,0.7000803502383194,0.23815805410379684
820,283.03052087570853,0.11876823890116889,283.7868316593219,283.90559989822304,0.0,0.756310783613344,0.8750790225145124,0.7000803502383194,0.23815805410379684
821,283.21499570887875,0.4375414568307665,283.90559989822304,284.34314135505383,0.0,0.6906041893442989,1.128145646175085,0.7000803502383194,0.23815805410379684
822,283.63582486307524,0.011469784878556172,284.34314135505383,284.3546111399324,0.0,0.7073164919785881,0.7187862768571449,0.7000803502383194,0.23815805410379684
